fp;pca;best_val_auc;crossval_auc;crossval_auc_std;best_params
ecfp6;50;0.7931076288223267;0.7251806962490082;0.10452513483939627;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
ecfp4_maccs;50;0.8228780031204224;0.8124888311624527;0.07467715162016286;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
fcfp2;50;0.7417603135108948;0.8068517178297043;0.054229138691523;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
ecfp4;50;0.7869852781295776;0.736067797422409;0.10227194694507544;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
ecfp2;50;0.7966471910476685;0.8011560916900635;0.058074947369395044;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 10}
ecfp0;50;0.8228798508644104;0.7681794959306717;0.0582092205498168;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 50}
fcfp2;20;0.7739617824554443;0.7562451605796814;0.05117651320632471;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 10, 'second_dropout': 0.0, 'third_neuron': 10, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
ecfp4;20;0.7818803191184998;0.7467083476781845;0.07765616151462054;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 5, 'second_dropout': 0.0, 'third_neuron': 5, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 100}
ecfp6;20;0.7344554662704468;0.7506036447882652;0.0703798223568426;{'activation': 'relu', 'first_neuron': 10, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 5, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 100}
ecfp4_maccs;20;0.8223169445991516;0.7792871891260147;0.06430651985639409;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 5, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 100}
ecfp0;20;0.8090981245040894;0.7370566829442978;0.03861607170416407;{'activation': 'relu', 'first_neuron': 5, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 5, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 100}
ecfp2;20;0.8039100766181946;0.755103892147541;0.06264570296314648;{'activation': 'relu', 'first_neuron': 10, 'first_dropout': 0.0, 'second_neuron': 5, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 100}
hashap;100;0.8430954813957214;0.8671952617168427;0.052368478414396645;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
eigenvals;100;0.7476321458816528;0.5001473903656006;0.00029478566768169584;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 100}
rdk6;25;0.8006919622421265;0.763140090584755;0.04841465958439888;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
rdk7;40;0.8172622323036194;0.7848024356365204;0.044653451928405724;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
fcfp4;100;0.7776387333869934;0.8242016834020615;0.07054995818987318;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
ecfp4;100;0.8612138628959656;0.8485927718877793;0.06463420863924385;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
rdk5;100;0.7858661413192749;0.845109731554985;0.04106803652491448;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 10}
ecfp4_maccs;100;0.857836127281189;0.8619129401445389;0.06656538400408935;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
fcfp6;100;0.790045976638794;0.8130518162250518;0.07024368437179314;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
hashtt;100;0.8301209807395935;0.8393896478414535;0.05887868230301157;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
maccs;0;0.858903169631958;0.8594945782423019;0.06294976941381494;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 83, 'second_dropout': 0.0, 'third_neuron': 41, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
fcfp2;100;0.8091901540756226;0.8302520394325257;0.06912577259445866;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
maccs;100;0.8387197256088257;0.7859917993545532;0.08399779668981953;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
avalon;100;0.8413302898406982;0.7680355641841888;0.08416483990033212;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 25, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
ecfp2;100;0.8446468710899353;0.8493151354789734;0.0617013703583482;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
ecfp6;100;0.8485480546951294;0.8452186918258667;0.07899099554219564;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
ecfp0;40;0.7710515260696411;0.7662781211137771;0.06804516359844358;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 20, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
rdk7;100;0.8227440118789673;0.8462905651330948;0.0405784303754922;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 10}
ecfp4;40;0.8014309406280518;0.752467332482338;0.09323130450963016;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 10, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
rdk6;100;0.8512532114982605;0.8611024290323257;0.046457714997625105;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
hashtt;40;0.8260799050331116;0.7487630186676979;0.08705788427126117;{'activation': 'relu', 'first_neuron': 20, 'first_dropout': 0.5, 'second_neuron': 20, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 100}
rdk6;40;0.7799122929573059;0.7804151893258094;0.06408274905260312;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 10, 'second_dropout': 0.5, 'third_neuron': 20, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 100}
ecfp4_maccs;40;0.8133786916732788;0.8308845224380493;0.0669608127500352;{'activation': 'relu', 'first_neuron': 10, 'first_dropout': 0.5, 'second_neuron': 20, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
fcfp4;40;0.7844541072845459;0.7790619568824768;0.07191474111182884;{'activation': 'relu', 'first_neuron': 10, 'first_dropout': 0.5, 'second_neuron': 20, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
eigenvals;40;0.7978633642196655;0.5001473903656006;0.00029478566768169584;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 20, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 100}
hashap;40;0.798092246055603;0.8210300379991531;0.04219642795148068;{'activation': 'relu', 'first_neuron': 20, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
maccs;40;0.8131447434425354;0.8036626473665237;0.06703234302430346;{'activation': 'relu', 'first_neuron': 20, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
