fp;pca;best_val_auc;crossval_auc;crossval_auc_std;best_params
eigenvals;0;0.693912148475647;0.637662072867155;0.06754248162208333;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 32, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 100}
eigenvals;50;0.7542121410369873;0.500102025270462;0.0005582049608177286;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
hashap;50;0.8542469143867493;0.877372684955597;0.031098594981270707;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
avalon;50;0.8735706806182861;0.8748484041690826;0.029797690621980857;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
maccs;0;0.8759081959724426;0.9131648856401443;0.020007664471392347;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 83, 'second_dropout': 0.0, 'third_neuron': 83, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 10}
ecfp2;50;0.8518941402435303;0.866277037858963;0.02664635881883039;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
ecfp6;50;0.851195216178894;0.8420357254743576;0.04697467085483625;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 100}
hashtt;50;0.8633254766464233;0.8535211749076843;0.033946006870329795;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
ecfp4;50;0.8561227321624756;0.8705715507268905;0.021215138460315988;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
fcfp2;50;0.831236720085144;0.8598063875436783;0.031179028487346334;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
rdk7;50;0.8507556915283203;0.8588552888631821;0.03445909184959961;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
ecfp0;50;0.8137323260307312;0.8160542616248131;0.04008813455339916;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 100}
ecfp6;20;0.8211868405342102;0.8421728957891464;0.02832477099263781;{'activation': 'relu', 'first_neuron': 10, 'first_dropout': 0.0, 'second_neuron': 5, 'second_dropout': 0.0, 'third_neuron': 10, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
