fp;pca;best_val_auc;crossval_auc;crossval_auc_std;best_params
maccs;0;0.874582052230835;0.8551996493339539;0.04768330081500277;{'activation': 'relu', 'first_neuron': 83, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 10}
maccs;50;0.7758299708366394;0.7592435508966446;0.07193674371530553;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
ecfp6;50;0.7458490133285522;0.7351544572710991;0.09517989628366098;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 100}
rdk7;50;0.8058388233184814;0.7913703575134278;0.06297432333571273;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
ecfp4;50;0.7868110537528992;0.8264188694953919;0.04042094872243099;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.0, 'second_neuron': 25, 'second_dropout': 0.0, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
ecfp4_maccs;50;0.8407806158065796;0.7596409953832627;0.07569145122015529;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 25, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
fcfp6;50;0.8006244897842407;0.791047933936119;0.08064657835995602;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
hashap;50;0.8546549677848816;0.8166411054134369;0.04622604052605467;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
ecfp4_maccs;20;0.7996929883956909;0.7949462903738022;0.049304942078791776;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
eigenvals;50;0.6802472472190857;0.5177276933193207;0.04199886396474033;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
ecfp2;50;0.8082793951034546;0.7796337188482284;0.06525668148886532;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
ecfp0;50;0.7762100696563721;0.773749953866005;0.037164293918704586;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.5, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
avalon;50;0.8343013525009155;0.8472014820575714;0.03348486248316102;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
