fp;pca;best_val_auc;crossval_auc;crossval_auc_std;best_params
ecfp0;50;0.7968363165855408;0.7754827332496643;0.05375762894682425;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 12, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
ecfp4_maccs;50;0.8187921047210693;0.7932149410247803;0.06239794656757252;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 50}
rdk7;50;0.767329752445221;0.7911017100811004;0.05461255560648315;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 50}
maccs;0;0.788711428642273;0.8293909341096878;0.04587788333488253;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 41, 'second_dropout': 0.5, 'third_neuron': 83, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
ecfp2;50;0.7956740260124207;0.8170526051521301;0.03873830595307221;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
maccs;50;0.7643341422080994;0.7952032144069672;0.062146552087366316;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
fcfp2;50;0.8070613741874695;0.794575673878193;0.0674426993058508;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 100}
rdk6;50;0.8092440366744995;0.8231818723678589;0.02921519466242484;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
eigenvals;50;0.7797576189041138;0.5014811244010925;0.012495275565473566;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
fcfp4;50;0.822023868560791;0.7641443751454353;0.059926527615477385;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 100}
ecfp4;50;0.8354804515838623;0.8420355075597763;0.041059895948839464;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
eigenvals;0;0.7162272334098816;0.7401071078181267;0.046539805377362985;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 65, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 100}
