fp;pca;best_val_auc;crossval_auc;crossval_auc_std;best_params
maccs;0;0.8032587766647339;0.7995105494260788;0.06950155009069428;{'activation': 'relu', 'first_neuron': 83, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
ecfp4_maccs;50;0.8358278274536133;0.8490688055753708;0.055009080946273;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
avalon;50;0.8138253688812256;0.8460012370347977;0.039293150150621084;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
rdk6;50;0.8244958519935608;0.8382608103752136;0.038548794297602856;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
maccs;50;0.8267470002174377;0.841489554643631;0.03496200102914326;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
fcfp2;50;0.7923672795295715;0.8099310845136642;0.022923837817777622;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 25, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
eigenvals;0;0.7780708074569702;0.6420247691273689;0.10594154084586385;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 65, 'second_dropout': 0.0, 'third_neuron': 65, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
ecfp0;50;0.7832735180854797;0.8056878644227982;0.03716190089049047;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
fcfp6;50;0.7666130661964417;0.7543217655420303;0.06296947841660702;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 100}
hashap;50;0.8034705519676208;0.8524039781093598;0.025815177116552138;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
hashtt;50;0.8088113069534302;0.7521469163894653;0.07596261455023004;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
eigenvals;50;0.7701238989830017;0.5001814842224122;0.0005444526672363283;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
ecfp6;50;0.8020853400230408;0.8266046702861786;0.03737965447617201;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
rdk7;50;0.8088238835334778;0.7968602076768875;0.05383586212426906;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 50}
fcfp4;50;0.8322595357894897;0.8326694339513778;0.031055213162762926;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
rdk5;50;0.8514169454574585;0.8333390659093857;0.03417954579585046;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
ecfp4;50;0.8163819313049316;0.7724478483200073;0.06542117988806327;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 50}
ecfp2;50;0.8022202849388123;0.7453288168907165;0.08001630755675086;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 12, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 100}
ecfp0;20;0.7590681314468384;0.7828888468742371;0.048428281816091254;{'activation': 'relu', 'first_neuron': 5, 'first_dropout': 0.0, 'second_neuron': 10, 'second_dropout': 0.0, 'third_neuron': 10, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
avalon;20;0.8132005333900452;0.8198811204433442;0.0388749981594302;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 10, 'second_dropout': 0.0, 'third_neuron': 10, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 100}
fcfp2;20;0.7487157583236694;0.7911028016805649;0.027071429493570078;{'activation': 'relu', 'first_neuron': 10, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 5, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
eigenvals;20;0.7780663371086121;0.4998892539739609;0.0014947622734019143;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 10, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
