
most_frequent - NR-AR-LBD 
Test size = 0.25
fp_name       acc    balanced_acc    roc
---------  ------  --------------  -----
ecfp0      0.9602            0.50    0.5
ecfp2      0.9602            0.50    0.5
ecfp4      0.9602            0.50    0.5
ecfp6      0.9602            0.50    0.5
fcfp2      0.9602            0.50    0.5
fcfp4      0.9602            0.50    0.5
fcfp6      0.9602            0.50    0.5
maccs      0.9602            0.50    0.5
hashap     0.9602            0.50    0.5
hashtt     0.9602            0.50    0.5
avalon     0.9602            0.50    0.5
rdk5       0.9602            0.50    0.5
rdk6       0.9602            0.50    0.5
rdk7       0.9602            0.50    0.5
adalr - NR-AR-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9602            0.50  0.73416
ecfp2      0.9602            0.50  0.775408
ecfp4      0.9602            0.50  0.790943
ecfp6      0.9608            0.51  0.789253
fcfp2      0.9602            0.50  0.747876
fcfp4      0.9602            0.50  0.769525
fcfp6      0.9608            0.51  0.787664
maccs      0.9602            0.50  0.752517
hashap     0.9715            0.66  0.804723
hashtt     0.9679            0.61  0.795335
avalon     0.9721            0.70  0.819649
rdk5       0.9709            0.68  0.822992
rdk6       0.9715            0.68  0.812759
rdk7       0.9727            0.70  0.80259
badlr - NR-AR-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9679            0.62  0.721387
ecfp2      0.9756            0.76  0.820849
ecfp4      0.9739            0.76  0.811059
ecfp6      0.9739            0.74  0.815613
fcfp2      0.9691            0.66  0.760548
fcfp4      0.9762            0.76  0.794111
fcfp6      0.9762            0.75  0.80778
maccs      0.9721            0.72  0.788195
hashap     0.9703            0.73  0.823602
hashtt     0.9756            0.77  0.842143
avalon     0.9733            0.76  0.806524
rdk5       0.9733            0.76  0.80633
rdk6       0.9762            0.77  0.788357
rdk7       0.9703            0.76  0.793132
svm - NR-AR-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.5918            0.43  0.421965
ecfp2      0.8170            0.55  0.544264
ecfp4      0.8324            0.67  0.718321
ecfp6      0.8526            0.68  0.731777
fcfp2      0.8021            0.68  0.710475
fcfp4      0.8158            0.63  0.656245
fcfp6      0.7546            0.61  0.640516
maccs      0.5354            0.40  0.418238
hashap     0.6209            0.48  0.454069
hashtt     0.5437            0.50  0.525265
avalon     0.8687            0.71  0.746878
rdk5       0.6316            0.59  0.621269
rdk6       0.6815            0.63  0.681469
rdk7       0.6061            0.62  0.658102
baglr - NR-AR-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9673            0.61  0.722153
ecfp2      0.9762            0.76  0.809711
ecfp4      0.9756            0.76  0.827315
ecfp6      0.9750            0.75  0.816435
fcfp2      0.9715            0.68  0.756253
fcfp4      0.9756            0.76  0.801555
fcfp6      0.9768            0.75  0.799108
maccs      0.9715            0.72  0.793331
hashap     0.9715            0.72  0.818448
hashtt     0.9756            0.77  0.844341
avalon     0.9762            0.76  0.814597
rdk5       0.9750            0.76  0.809609
rdk6       0.9774            0.77  0.80513
rdk7       0.9756            0.76  0.794305
mlp - NR-AR-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9727            0.71  0.796679
ecfp2      0.9756            0.77  0.790407
ecfp4      0.9745            0.78  0.79908
ecfp6      0.9756            0.77  0.800937
fcfp2      0.9709            0.71  0.797667
fcfp4      0.9727            0.77  0.804363
fcfp6      0.9780            0.77  0.804382
maccs      0.9750            0.77  0.823893
hashap     0.9703            0.69  0.84599
hashtt     0.9727            0.79  0.838365
avalon     0.9739            0.78  0.820129
rdk5       0.9685            0.78  0.806589
rdk6       0.9745            0.77  0.797612
rdk7       0.9756            0.74  0.802885
gbt - NR-AR-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9721            0.73  0.802174
ecfp2      0.9721            0.76  0.818882
ecfp4      0.9733            0.76  0.825975
ecfp6      0.9715            0.76  0.849176
fcfp2      0.9709            0.71  0.759111
fcfp4      0.9750            0.77  0.792897
fcfp6      0.9727            0.75  0.781379
maccs      0.9727            0.73  0.822641
hashap     0.9691            0.74  0.797348
hashtt     0.9721            0.75  0.829993
avalon     0.9709            0.75  0.825001
rdk5       0.9756            0.78  0.829222
rdk6       0.9762            0.75  0.821514
rdk7       0.9745            0.71  0.818822
lr - NR-AR-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9727            0.69  0.734096
ecfp2      0.9756            0.75  0.825227
ecfp4      0.9750            0.76  0.818411
ecfp6      0.9745            0.73  0.81878
fcfp2      0.9715            0.66  0.754424
fcfp4      0.9756            0.74  0.793354
fcfp6      0.9768            0.75  0.809
maccs      0.9727            0.71  0.778692
hashap     0.9756            0.72  0.825467
hashtt     0.9762            0.76  0.847842
avalon     0.9750            0.76  0.822068
rdk5       0.9745            0.75  0.813026
rdk6       0.9750            0.73  0.808852
rdk7       0.9768            0.75  0.795986
tf_dnn - NR-AR-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9733            0.72  0.801602
ecfp2      0.9673            0.75  0.760307
ecfp4      0.9685            0.77  0.786039
ecfp6      0.9566            0.77  0.768541
fcfp2      0.9661            0.71  0.749871
fcfp4      0.9673            0.76  0.757998
fcfp6      0.9697            0.77  0.782035
maccs      0.9739            0.76  0.828603
hashap     0.9691            0.71  0.783841
hashtt     0.9632            0.78  0.801989
avalon     0.9733            0.74  0.803735
rdk5       0.9727            0.76  0.798277
rdk6       0.9679            0.77  0.806432
rdk7       0.9750            0.74  0.80392
