
badlr - NR-AR 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9674            0.64  0.761928
ecfp2      0.9729            0.73  0.727534
ecfp4      0.9724            0.73  0.70529
ecfp6      0.9696            0.73  0.717343
fcfp2      0.9685            0.67  0.765493
fcfp4      0.9729            0.73  0.743434
fcfp6      0.9685            0.72  0.71182
maccs      0.9735            0.73  0.779203
hashap     0.9635            0.72  0.758213
hashtt     0.9707            0.71  0.777081
avalon     0.9674            0.71  0.717
rdk5       0.9596            0.72  0.719668
rdk6       0.9585            0.73  0.726509
rdk7       0.9569            0.71  0.697299
most_frequent - NR-AR 
Test size = 0.25
fp_name       acc    balanced_acc    roc
---------  ------  --------------  -----
ecfp0      0.9552            0.50    0.5
ecfp2      0.9552            0.50    0.5
ecfp4      0.9552            0.50    0.5
ecfp6      0.9552            0.50    0.5
fcfp2      0.9552            0.50    0.5
fcfp4      0.9552            0.50    0.5
fcfp6      0.9552            0.50    0.5
maccs      0.9552            0.50    0.5
hashap     0.9552            0.50    0.5
hashtt     0.9552            0.50    0.5
avalon     0.9552            0.50    0.5
rdk5       0.9552            0.50    0.5
rdk6       0.9552            0.50    0.5
rdk7       0.9552            0.50    0.5
adalr - NR-AR 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9552            0.50  0.7671
ecfp2      0.9552            0.50  0.764093
ecfp4      0.9552            0.50  0.757888
ecfp6      0.9563            0.51  0.763317
fcfp2      0.9552            0.50  0.739501
fcfp4      0.9552            0.50  0.755394
fcfp6      0.9552            0.50  0.756344
maccs      0.9552            0.50  0.784926
hashap     0.9707            0.68  0.788384
hashtt     0.9696            0.66  0.810917
avalon     0.9740            0.72  0.785272
rdk5       0.9713            0.68  0.800501
rdk6       0.9729            0.71  0.792495
rdk7       0.9735            0.71  0.78574
svm - NR-AR 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.6501            0.38  0.341317
ecfp2      0.7523            0.61  0.619345
ecfp4      0.5749            0.45  0.461277
ecfp6      0.7783            0.64  0.660101
fcfp2      0.7087            0.62  0.679087
fcfp4      0.6103            0.57  0.573731
fcfp6      0.6396            0.51  0.506012
maccs      0.7098            0.48  0.538412
hashap     0.6882            0.58  0.613437
hashtt     0.7617            0.69  0.721947
avalon     0.6479            0.49  0.488512
rdk5       0.7634            0.65  0.693376
rdk6       0.6423            0.61  0.644833
rdk7       0.6274            0.57  0.628397
mlp - NR-AR 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9718            0.69  0.780536
ecfp2      0.9602            0.73  0.706658
ecfp4      0.9679            0.72  0.692773
ecfp6      0.9713            0.73  0.707583
fcfp2      0.9608            0.66  0.746574
fcfp4      0.9652            0.73  0.71207
fcfp6      0.9619            0.74  0.686185
maccs      0.9713            0.73  0.772945
hashap     0.9552            0.74  0.754383
hashtt     0.9657            0.73  0.738887
avalon     0.9613            0.73  0.713499
rdk5       0.9569            0.72  0.753854
rdk6       0.9679            0.72  0.737651
rdk7       0.9729            0.72  0.689497
gbt - NR-AR 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9679            0.70  0.766529
ecfp2      0.9701            0.73  0.75529
ecfp4      0.9701            0.72  0.777578
ecfp6      0.9674            0.72  0.778932
fcfp2      0.9663            0.70  0.794539
fcfp4      0.9729            0.73  0.742023
fcfp6      0.9707            0.73  0.738483
maccs      0.9762            0.73  0.772827
hashap     0.9674            0.68  0.746099
hashtt     0.9701            0.70  0.802648
avalon     0.9746            0.73  0.740148
rdk5       0.9696            0.72  0.779585
rdk6       0.9740            0.73  0.789673
rdk7       0.9740            0.72  0.806802
lr - NR-AR 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9713            0.68  0.762185
ecfp2      0.9746            0.73  0.746781
ecfp4      0.9746            0.72  0.746399
ecfp6      0.9729            0.72  0.755923
fcfp2      0.9690            0.67  0.773202
fcfp4      0.9729            0.70  0.773684
fcfp6      0.9746            0.72  0.74875
maccs      0.9751            0.73  0.786833
hashap     0.9735            0.72  0.78629
hashtt     0.9724            0.71  0.798422
avalon     0.9746            0.73  0.775063
rdk5       0.9740            0.73  0.795528
rdk6       0.9740            0.73  0.768997
rdk7       0.9746            0.73  0.750068
tf_dnn - NR-AR 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9713            0.71  0.789766
ecfp2      0.9541            0.72  0.671704
ecfp4      0.9619            0.69  0.710305
ecfp6      0.9713            0.71  0.700517
fcfp2      0.9641            0.60  0.675294
fcfp4      0.9713            0.68  0.688357
fcfp6      0.9679            0.73  0.697052
maccs      0.9707            0.73  0.755541
hashap     0.9724            0.71  0.780146
hashtt     0.9724            0.73  0.722583
avalon     0.9718            0.69  0.724816
rdk5       0.9674            0.72  0.787641
rdk6       0.9701            0.73  0.752579
rdk7       0.9735            0.72  0.752911
lr - NR-AR 
Test size = 0.25
fp_name        acc    balanced_acc       roc
----------  ------  --------------  --------
ecfp0       0.9713            0.68  0.762228
ecfp2       0.9746            0.73  0.746781
ecfp4       0.9746            0.72  0.746399
ecfp6       0.9729            0.72  0.755923
fcfp2       0.9690            0.67  0.773202
fcfp4       0.9729            0.70  0.773684
fcfp6       0.9746            0.72  0.74875
maccs       0.9751            0.73  0.786833
hashap      0.9735            0.72  0.78629
hashtt      0.9724            0.71  0.798422
avalon      0.9746            0.73  0.775063
rdk5        0.9740            0.73  0.795528
rdk6        0.9740            0.73  0.769011
rdk7        0.9746            0.73  0.750068
CMat_full   0.9602            0.50  0.727986
CMat_400    0.9602            0.50  0.719605
CMat_600    0.9602            0.50  0.726441
eigenvals   0.9602            0.50  0.742035
dist_2D     0.9552            0.50  0.690036
dist_3D     0.9552            0.50  0.717907
balaban_2D  0.9552            0.50  0.700964
balaban_3D  0.9552            0.50  0.7179
adjac       0.9585            0.55  0.739912
Laplacian   0.9552            0.50  0.721486
lr - NR-AR 
Test size = 0.25
fp_name        acc    balanced_acc       roc
----------  ------  --------------  --------
ecfp0       0.9713            0.68  0.762228
ecfp2       0.9746            0.73  0.746781
ecfp4       0.9746            0.72  0.746399
ecfp6       0.9729            0.72  0.755923
fcfp2       0.9690            0.67  0.773202
fcfp4       0.9729            0.70  0.773684
fcfp6       0.9746            0.72  0.74875
maccs       0.9751            0.73  0.786833
hashap      0.9735            0.72  0.78629
hashtt      0.9724            0.71  0.798422
avalon      0.9746            0.73  0.775063
rdk5        0.9740            0.73  0.795528
rdk6        0.9740            0.73  0.769011
rdk7        0.9746            0.73  0.750068
CMat_full   0.9602            0.50  0.727986
CMat_400    0.9602            0.50  0.719605
CMat_600    0.9602            0.50  0.726441
