
most_frequent - NR-AhR 
Test size = 0.25
fp_name       acc    balanced_acc    roc
---------  ------  --------------  -----
ecfp0      0.8798            0.50    0.5
ecfp2      0.8798            0.50    0.5
ecfp4      0.8798            0.50    0.5
ecfp6      0.8798            0.50    0.5
fcfp2      0.8798            0.50    0.5
fcfp4      0.8798            0.50    0.5
fcfp6      0.8798            0.50    0.5
maccs      0.8798            0.50    0.5
hashap     0.8798            0.50    0.5
hashtt     0.8798            0.50    0.5
avalon     0.8798            0.50    0.5
rdk5       0.8798            0.50    0.5
rdk6       0.8798            0.50    0.5
rdk7       0.8798            0.50    0.5
badlr - NR-AhR 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8860            0.56  0.805182
ecfp2      0.9086            0.70  0.86921
ecfp4      0.9068            0.72  0.843362
ecfp6      0.8952            0.69  0.824429
fcfp2      0.8994            0.64  0.875084
fcfp4      0.9074            0.69  0.875174
fcfp6      0.8896            0.67  0.839135
maccs      0.8988            0.66  0.867806
hashap     0.8884            0.68  0.807171
hashtt     0.8982            0.67  0.847778
avalon     0.8976            0.73  0.838015
rdk5       0.8970            0.71  0.83364
rdk6       0.8921            0.72  0.811619
rdk7       0.8786            0.72  0.81264
adalr - NR-AhR 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8798            0.50  0.774836
ecfp2      0.8798            0.50  0.835249
ecfp4      0.8798            0.50  0.844219
ecfp6      0.8798            0.50  0.847454
fcfp2      0.8798            0.50  0.821706
fcfp4      0.8798            0.50  0.841227
fcfp6      0.8798            0.50  0.846093
maccs      0.8798            0.50  0.845812
hashap     0.8847            0.53  0.851589
hashtt     0.8798            0.50  0.818595
avalon     0.8982            0.59  0.869487
rdk5       0.8909            0.57  0.868863
rdk6       0.8970            0.59  0.873185
rdk7       0.9001            0.59  0.877683
mlp - NR-AhR 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8921            0.60  0.836249
ecfp2      0.9037            0.71  0.844766
ecfp4      0.8927            0.73  0.823107
ecfp6      0.8939            0.72  0.82417
fcfp2      0.9025            0.70  0.843646
fcfp4      0.9068            0.70  0.844274
fcfp6      0.8921            0.69  0.828337
maccs      0.9019            0.71  0.871429
hashap     0.8737            0.74  0.837446
hashtt     0.8890            0.68  0.832408
avalon     0.8994            0.71  0.857594
rdk5       0.9068            0.72  0.870648
rdk6       0.8958            0.72  0.867425
rdk7       0.9019            0.72  0.871773
gbt - NR-AhR 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8890            0.56  0.817868
ecfp2      0.8994            0.61  0.867852
ecfp4      0.8952            0.59  0.862128
ecfp6      0.8933            0.58  0.8556
fcfp2      0.8970            0.61  0.848809
fcfp4      0.9037            0.62  0.85595
fcfp6      0.9007            0.61  0.844907
maccs      0.9013            0.64  0.87972
hashap     0.9007            0.61  0.849934
hashtt     0.8964            0.59  0.839673
avalon     0.9037            0.65  0.892955
rdk5       0.9056            0.66  0.874595
rdk6       0.9031            0.64  0.875439
rdk7       0.9080            0.66  0.890797
svm - NR-AhR 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.4280            0.54  0.597328
ecfp2      0.6983            0.60  0.624771
ecfp4      0.6560            0.61  0.649929
ecfp6      0.6616            0.56  0.611829
fcfp2      0.6248            0.57  0.58362
fcfp4      0.7885            0.68  0.719958
fcfp6      0.6861            0.62  0.654985
maccs      0.6033            0.54  0.559041
hashap     0.5573            0.53  0.531668
hashtt     0.4985            0.49  0.499417
avalon     0.7425            0.59  0.618367
rdk5       0.6505            0.59  0.638262
rdk6       0.7155            0.66  0.711431
rdk7       0.4102            0.47  0.488832
baglr - NR-AhR 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8835            0.55  0.809271
ecfp2      0.9105            0.70  0.874767
ecfp4      0.9056            0.70  0.858369
ecfp6      0.8964            0.67  0.842143
fcfp2      0.9007            0.65  0.87386
fcfp4      0.9056            0.68  0.878491
fcfp6      0.8952            0.67  0.856674
maccs      0.8958            0.66  0.860777
hashap     0.8988            0.69  0.817102
hashtt     0.8970            0.66  0.852926
avalon     0.9037            0.73  0.868609
rdk5       0.8964            0.70  0.851015
rdk6       0.8939            0.71  0.839963
rdk7       0.8896            0.71  0.844656
lr - NR-AhR 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8872            0.57  0.805893
ecfp2      0.9056            0.67  0.877341
ecfp4      0.9068            0.70  0.864222
ecfp6      0.9037            0.62  0.87433
fcfp2      0.8988            0.65  0.877377
fcfp4      0.9068            0.67  0.885186
fcfp6      0.8994            0.66  0.861043
maccs      0.9007            0.66  0.870287
hashap     0.9013            0.64  0.863052
hashtt     0.8994            0.65  0.8588
avalon     0.9105            0.70  0.884292
rdk5       0.9074            0.69  0.884966
rdk6       0.9068            0.69  0.871009
rdk7       0.9062            0.63  0.884345
tf_dnn - NR-AhR 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8915            0.63  0.8314
ecfp2      0.9044            0.75  0.844094
ecfp4      0.8804            0.73  0.826164
ecfp6      0.8933            0.63  0.81751
fcfp2      0.9037            0.69  0.853531
fcfp4      0.9037            0.71  0.821372
fcfp6      0.8872            0.70  0.790199
maccs      0.8988            0.68  0.87972
hashap     0.9062            0.66  0.824774
hashtt     0.8927            0.74  0.825404
avalon     0.9123            0.74  0.894923
rdk5       0.9007            0.70  0.824406
rdk6       0.8994            0.74  0.872477
rdk7       0.9062            0.64  0.890635
