
most_frequent - NR-Aromatase 
Test size = 0.25
fp_name       acc    balanced_acc    roc
---------  ------  --------------  -----
ecfp0      0.9406            0.50    0.5
ecfp2      0.9406            0.50    0.5
ecfp4      0.9406            0.50    0.5
ecfp6      0.9406            0.50    0.5
fcfp2      0.9406            0.50    0.5
fcfp4      0.9406            0.50    0.5
fcfp6      0.9406            0.50    0.5
maccs      0.9406            0.50    0.5
hashap     0.9406            0.50    0.5
hashtt     0.9406            0.50    0.5
avalon     0.9406            0.50    0.5
rdk5       0.9406            0.50    0.5
rdk6       0.9406            0.50    0.5
rdk7       0.9406            0.50    0.5
badlr - NR-Aromatase 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9413            0.51  0.775107
ecfp2      0.9434            0.60  0.798504
ecfp4      0.9448            0.63  0.771136
ecfp6      0.9441            0.63  0.772688
fcfp2      0.9406            0.53  0.802569
fcfp4      0.9441            0.61  0.795949
fcfp6      0.9441            0.65  0.791065
maccs      0.9441            0.55  0.808442
hashap     0.9351            0.66  0.764204
hashtt     0.9393            0.60  0.803989
avalon     0.9386            0.64  0.726561
rdk5       0.9406            0.61  0.772625
rdk6       0.9358            0.64  0.763701
rdk7       0.9317            0.64  0.745734
adalr - NR-Aromatase 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9406            0.50  0.747193
ecfp2      0.9406            0.50  0.78197
ecfp4      0.9406            0.50  0.791969
ecfp6      0.9406            0.50  0.800747
fcfp2      0.9406            0.50  0.791837
fcfp4      0.9406            0.50  0.804369
fcfp6      0.9406            0.50  0.80056
maccs      0.9406            0.50  0.790408
hashap     0.9406            0.50  0.847963
hashtt     0.9406            0.50  0.776007
avalon     0.9406            0.50  0.811539
rdk5       0.9413            0.51  0.82986
rdk6       0.9406            0.50  0.826012
rdk7       0.9406            0.50  0.818377
baglr - NR-Aromatase 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9413            0.51  0.77747
ecfp2      0.9455            0.60  0.792122
ecfp4      0.9427            0.60  0.781527
ecfp6      0.9455            0.60  0.813732
fcfp2      0.9441            0.56  0.808745
fcfp4      0.9441            0.59  0.785916
fcfp6      0.9434            0.62  0.784308
maccs      0.9469            0.57  0.806932
hashap     0.9400            0.60  0.779637
hashtt     0.9393            0.58  0.817861
avalon     0.9420            0.64  0.732635
rdk5       0.9413            0.61  0.800709
rdk6       0.9441            0.63  0.78241
rdk7       0.9427            0.63  0.813642
svm - NR-Aromatase 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.7654            0.56  0.593109
ecfp2      0.5072            0.41  0.402191
ecfp4      0.7509            0.59  0.573453
ecfp6      0.7433            0.59  0.613225
fcfp2      0.7191            0.50  0.471715
fcfp4      0.6501            0.52  0.531185
fcfp6      0.6908            0.60  0.647639
maccs      0.6749            0.66  0.688341
hashap     0.5645            0.45  0.453203
hashtt     0.5418            0.47  0.475413
avalon     0.7792            0.57  0.589517
rdk5       0.5742            0.55  0.558698
rdk6       0.5583            0.49  0.487046
rdk7       0.8213            0.63  0.698617
mlp - NR-Aromatase 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9406            0.51  0.795987
ecfp2      0.9331            0.64  0.754039
ecfp4      0.9379            0.65  0.726945
ecfp6      0.9400            0.64  0.739025
fcfp2      0.9413            0.60  0.771413
fcfp4      0.9406            0.65  0.75871
fcfp6      0.9358            0.67  0.736201
maccs      0.9503            0.67  0.791781
hashap     0.9496            0.64  0.771388
hashtt     0.9462            0.62  0.687411
avalon     0.9448            0.66  0.764682
rdk5       0.9455            0.63  0.7615
rdk6       0.9427            0.60  0.773785
rdk7       0.9413            0.59  0.787708
gbt - NR-Aromatase 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9427            0.53  0.764153
ecfp2      0.9510            0.60  0.778558
ecfp4      0.9455            0.57  0.759039
ecfp6      0.9482            0.61  0.776698
fcfp2      0.9476            0.58  0.771533
fcfp4      0.9441            0.58  0.718652
fcfp6      0.9531            0.62  0.801379
maccs      0.9462            0.59  0.834266
hashap     0.9517            0.62  0.819273
hashtt     0.9503            0.60  0.773256
avalon     0.9476            0.59  0.798597
rdk5       0.9427            0.59  0.77216
rdk6       0.9489            0.60  0.812367
rdk7       0.9496            0.59  0.816487
lr - NR-Aromatase 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9413            0.51  0.775175
ecfp2      0.9448            0.57  0.805985
ecfp4      0.9455            0.60  0.789955
ecfp6      0.9455            0.56  0.822578
fcfp2      0.9413            0.52  0.809419
fcfp4      0.9482            0.60  0.804241
fcfp6      0.9406            0.51  0.820121
maccs      0.9406            0.50  0.750132
hashap     0.9448            0.56  0.843288
hashtt     0.9400            0.51  0.820855
avalon     0.9441            0.55  0.787115
rdk5       0.9469            0.57  0.833323
rdk6       0.9476            0.60  0.828401
rdk7       0.9517            0.63  0.814896
tf_dnn - NR-Aromatase 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9427            0.52  0.746174
ecfp2      0.9351            0.56  0.681269
ecfp4      0.9317            0.66  0.712647
ecfp6      0.9337            0.64  0.647285
fcfp2      0.9413            0.57  0.675997
fcfp4      0.9386            0.61  0.695392
fcfp6      0.9482            0.61  0.718516
maccs      0.9496            0.59  0.752965
hashap     0.9489            0.62  0.740961
hashtt     0.9365            0.60  0.679473
avalon     0.9406            0.55  0.7358
rdk5       0.9365            0.51  0.80988
rdk6       0.9462            0.56  0.826362
rdk7       0.9337            0.62  0.800653
