
badlr - NR-ER-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9515            0.54  0.732189
ecfp2      0.9596            0.66  0.784261
ecfp4      0.9573            0.67  0.803016
ecfp6      0.9561            0.64  0.737223
fcfp2      0.9510            0.55  0.77418
fcfp4      0.9567            0.64  0.791564
fcfp6      0.9579            0.68  0.797565
maccs      0.9521            0.57  0.786513
hashap     0.9504            0.65  0.793349
hashtt     0.9538            0.65  0.778664
avalon     0.9550            0.69  0.779277
rdk5       0.9515            0.67  0.75775
rdk6       0.9469            0.68  0.782758
rdk7       0.9423            0.69  0.763827
most_frequent - NR-ER-LBD 
Test size = 0.25
fp_name       acc    balanced_acc    roc
---------  ------  --------------  -----
ecfp0      0.9469            0.50    0.5
ecfp2      0.9469            0.50    0.5
ecfp4      0.9469            0.50    0.5
ecfp6      0.9469            0.50    0.5
fcfp2      0.9469            0.50    0.5
fcfp4      0.9469            0.50    0.5
fcfp6      0.9469            0.50    0.5
maccs      0.9469            0.50    0.5
hashap     0.9469            0.50    0.5
hashtt     0.9469            0.50    0.5
avalon     0.9469            0.50    0.5
rdk5       0.9469            0.50    0.5
rdk6       0.9469            0.50    0.5
rdk7       0.9469            0.50    0.5
adalr - NR-ER-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9469            0.50  0.733321
ecfp2      0.9469            0.50  0.777498
ecfp4      0.9469            0.50  0.798155
ecfp6      0.9469            0.50  0.794717
fcfp2      0.9469            0.50  0.751553
fcfp4      0.9469            0.50  0.767387
fcfp6      0.9469            0.50  0.787225
maccs      0.9469            0.50  0.768702
hashap     0.9469            0.50  0.817413
hashtt     0.9469            0.50  0.768967
avalon     0.9521            0.55  0.800347
rdk5       0.9469            0.50  0.769315
rdk6       0.9504            0.53  0.802013
rdk7       0.9510            0.54  0.804066
baglr - NR-ER-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9510            0.54  0.734083
ecfp2      0.9602            0.64  0.778108
ecfp4      0.9596            0.66  0.811853
ecfp6      0.9602            0.66  0.754458
fcfp2      0.9521            0.56  0.77361
fcfp4      0.9602            0.66  0.797876
fcfp6      0.9602            0.66  0.811978
maccs      0.9504            0.57  0.774564
hashap     0.9515            0.65  0.805106
hashtt     0.9544            0.65  0.758945
avalon     0.9544            0.69  0.77823
rdk5       0.9538            0.67  0.76032
rdk6       0.9573            0.69  0.805994
rdk7       0.9498            0.67  0.762681
svm - NR-ER-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.6653            0.49  0.480566
ecfp2      0.6971            0.51  0.55809
ecfp4      0.7692            0.60  0.641927
ecfp6      0.7069            0.59  0.60604
fcfp2      0.4189            0.45  0.437565
fcfp4      0.8038            0.65  0.615962
fcfp6      0.6763            0.64  0.662136
maccs      0.6930            0.59  0.612173
hashap     0.7859            0.63  0.660311
hashtt     0.5540            0.51  0.500262
avalon     0.6024            0.54  0.559905
rdk5       0.7311            0.64  0.689591
rdk6       0.7628            0.61  0.642904
rdk7       0.7051            0.60  0.601009
gbt - NR-ER-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9504            0.55  0.734325
ecfp2      0.9579            0.69  0.764529
ecfp4      0.9585            0.67  0.792014
ecfp6      0.9527            0.64  0.801314
fcfp2      0.9538            0.59  0.79676
fcfp4      0.9561            0.64  0.7726
fcfp6      0.9579            0.67  0.771709
maccs      0.9561            0.64  0.793541
hashap     0.9533            0.62  0.784977
hashtt     0.9533            0.64  0.798456
avalon     0.9636            0.69  0.827981
rdk5       0.9596            0.67  0.759939
rdk6       0.9636            0.68  0.801039
rdk7       0.9608            0.66  0.783668
mlp - NR-ER-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9498            0.53  0.735501
ecfp2      0.9579            0.70  0.770961
ecfp4      0.9481            0.68  0.766129
ecfp6      0.9561            0.66  0.724479
fcfp2      0.9561            0.64  0.770034
fcfp4      0.9556            0.69  0.788603
fcfp6      0.9585            0.69  0.755412
maccs      0.9469            0.68  0.804762
hashap     0.9533            0.69  0.784725
hashtt     0.9567            0.71  0.773173
avalon     0.9429            0.70  0.793962
rdk5       0.9515            0.67  0.765341
rdk6       0.9538            0.70  0.798158
rdk7       0.9561            0.66  0.779982
lr - NR-ER-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9504            0.55  0.737084
ecfp2      0.9602            0.64  0.781161
ecfp4      0.9608            0.67  0.809157
ecfp6      0.9590            0.64  0.757174
fcfp2      0.9504            0.56  0.773564
fcfp4      0.9608            0.64  0.792107
fcfp6      0.9636            0.68  0.812488
maccs      0.9533            0.58  0.793303
hashap     0.9561            0.60  0.826342
hashtt     0.9573            0.65  0.775511
avalon     0.9556            0.68  0.792028
rdk5       0.9561            0.60  0.773349
rdk6       0.9625            0.65  0.793846
rdk7       0.9596            0.65  0.791799
tf_dnn - NR-ER-LBD 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9486            0.53  0.704197
ecfp2      0.9504            0.65  0.752686
ecfp4      0.9383            0.67  0.756465
ecfp6      0.9556            0.60  0.705223
fcfp2      0.9550            0.59  0.738034
fcfp4      0.9573            0.67  0.741296
fcfp6      0.9313            0.72  0.772501
maccs      0.9585            0.65  0.773842
hashap     0.9521            0.63  0.780817
hashtt     0.9544            0.62  0.729225
avalon     0.9573            0.65  0.772809
rdk5       0.9527            0.64  0.735063
rdk6       0.9515            0.54  0.781936
rdk7       0.9573            0.67  0.759985
