
most_frequent - NR-ER 
Test size = 0.25
fp_name       acc    balanced_acc    roc
---------  ------  --------------  -----
ecfp0      0.8756            0.50    0.5
ecfp2      0.8756            0.50    0.5
ecfp4      0.8756            0.50    0.5
ecfp6      0.8756            0.50    0.5
fcfp2      0.8756            0.50    0.5
fcfp4      0.8756            0.50    0.5
fcfp6      0.8756            0.50    0.5
maccs      0.8756            0.50    0.5
hashap     0.8756            0.50    0.5
hashtt     0.8756            0.50    0.5
avalon     0.8756            0.50    0.5
rdk5       0.8756            0.50    0.5
rdk6       0.8756            0.50    0.5
rdk7       0.8756            0.50    0.5
adalr - NR-ER 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8756            0.50  0.651429
ecfp2      0.8756            0.50  0.694819
ecfp4      0.8756            0.50  0.706625
ecfp6      0.8756            0.50  0.710849
fcfp2      0.8756            0.50  0.664591
fcfp4      0.8756            0.50  0.68368
fcfp6      0.8756            0.50  0.692866
maccs      0.8756            0.50  0.685941
hashap     0.8775            0.51  0.7095
hashtt     0.8762            0.50  0.709
avalon     0.8859            0.54  0.693489
rdk5       0.8762            0.50  0.685677
rdk6       0.8833            0.53  0.689366
rdk7       0.8840            0.54  0.699555
badlr - NR-ER 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8795            0.52  0.673276
ecfp2      0.8879            0.62  0.727634
ecfp4      0.8684            0.63  0.708484
ecfp6      0.8658            0.64  0.694391
fcfp2      0.8795            0.55  0.694391
fcfp4      0.8808            0.61  0.729525
fcfp6      0.8691            0.63  0.719467
maccs      0.8866            0.57  0.707159
hashap     0.8762            0.63  0.713759
hashtt     0.8788            0.60  0.714748
avalon     0.8704            0.62  0.709338
rdk5       0.8542            0.60  0.680707
rdk6       0.8451            0.60  0.673567
rdk7       0.8432            0.60  0.677615
baglr - NR-ER 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8795            0.52  0.661252
ecfp2      0.8853            0.62  0.726462
ecfp4      0.8697            0.61  0.702578
ecfp6      0.8710            0.62  0.694248
fcfp2      0.8769            0.56  0.689507
fcfp4      0.8833            0.62  0.729332
fcfp6      0.8762            0.63  0.72587
maccs      0.8840            0.56  0.70502
hashap     0.8769            0.63  0.710618
hashtt     0.8833            0.62  0.721495
avalon     0.8782            0.62  0.708104
rdk5       0.8704            0.61  0.682843
rdk6       0.8607            0.60  0.692527
rdk7       0.8555            0.60  0.67994
svm - NR-ER 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.4018            0.53  0.570638
ecfp2      0.5301            0.49  0.510688
ecfp4      0.5535            0.48  0.484265
ecfp6      0.5762            0.53  0.566575
fcfp2      0.3714            0.50  0.468667
fcfp4      0.6261            0.53  0.555266
fcfp6      0.4543            0.46  0.460959
maccs      0.4556            0.51  0.536888
hashap     0.5444            0.54  0.544807
hashtt     0.5541            0.51  0.515692
avalon     0.5152            0.50  0.493579
rdk5       0.6183            0.54  0.553899
rdk6       0.6312            0.54  0.553807
rdk7       0.6643            0.55  0.578996
mlp - NR-ER 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8769            0.53  0.661325
ecfp2      0.8607            0.62  0.705101
ecfp4      0.8633            0.62  0.70242
ecfp6      0.8561            0.62  0.68542
fcfp2      0.8717            0.64  0.678843
fcfp4      0.8458            0.61  0.713638
fcfp6      0.8678            0.65  0.71698
maccs      0.8762            0.65  0.717965
hashap     0.8756            0.62  0.719286
hashtt     0.8756            0.62  0.677415
avalon     0.8626            0.62  0.688809
rdk5       0.8633            0.60  0.682562
rdk6       0.8827            0.58  0.686673
rdk7       0.8509            0.62  0.699493
gbt - NR-ER 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8788            0.52  0.680977
ecfp2      0.8911            0.59  0.699547
ecfp4      0.8885            0.59  0.671723
ecfp6      0.8846            0.59  0.687174
fcfp2      0.8872            0.56  0.692768
fcfp4      0.8970            0.59  0.699642
fcfp6      0.8898            0.58  0.714542
maccs      0.8918            0.60  0.729546
hashap     0.8885            0.57  0.716932
hashtt     0.8905            0.58  0.711734
avalon     0.8931            0.59  0.736281
rdk5       0.8911            0.59  0.702157
rdk6       0.8911            0.59  0.69251
rdk7       0.8911            0.59  0.667954
lr - NR-ER 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8801            0.52  0.67323
ecfp2      0.8898            0.60  0.727989
ecfp4      0.8937            0.59  0.726988
ecfp6      0.8950            0.60  0.71938
fcfp2      0.8801            0.54  0.694245
fcfp4      0.8911            0.57  0.722898
fcfp6      0.8950            0.59  0.729251
maccs      0.8866            0.57  0.708166
hashap     0.8911            0.60  0.725306
hashtt     0.8885            0.56  0.740601
avalon     0.8879            0.59  0.720178
rdk5       0.8866            0.58  0.701371
rdk6       0.8833            0.59  0.699486
rdk7       0.8905            0.58  0.71151
tf_dnn - NR-ER 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8795            0.52  0.695806
ecfp2      0.8645            0.62  0.698715
ecfp4      0.8639            0.63  0.696434
ecfp6      0.8872            0.59  0.667486
fcfp2      0.8872            0.58  0.692772
fcfp4      0.8827            0.62  0.695434
fcfp6      0.8704            0.64  0.710091
maccs      0.8918            0.63  0.707661
hashap     0.8769            0.65  0.687907
hashtt     0.8749            0.61  0.70341
avalon     0.8801            0.61  0.720109
rdk5       0.8846            0.59  0.679439
rdk6       0.8853            0.57  0.709151
rdk7       0.8892            0.60  0.704941
