
most_frequent - NR-PPAR-gamma 
Test size = 0.25
fp_name       acc    balanced_acc    roc
---------  ------  --------------  -----
ecfp0      0.9701            0.50    0.5
ecfp2      0.9701            0.50    0.5
ecfp4      0.9701            0.50    0.5
ecfp6      0.9701            0.50    0.5
fcfp2      0.9701            0.50    0.5
fcfp4      0.9701            0.50    0.5
fcfp6      0.9701            0.50    0.5
maccs      0.9701            0.50    0.5
hashap     0.9701            0.50    0.5
hashtt     0.9701            0.50    0.5
avalon     0.9701            0.50    0.5
rdk5       0.9701            0.50    0.5
rdk6       0.9701            0.50    0.5
rdk7       0.9701            0.50    0.5
badlr - NR-PPAR-gamma 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9701            0.50  0.717161
ecfp2      0.9695            0.54  0.785256
ecfp4      0.9664            0.53  0.795126
ecfp6      0.9677            0.53  0.792027
fcfp2      0.9708            0.53  0.770673
fcfp4      0.9701            0.55  0.775528
fcfp6      0.9670            0.54  0.729721
maccs      0.9689            0.52  0.784322
hashap     0.9652            0.58  0.744745
hashtt     0.9714            0.58  0.744959
avalon     0.9701            0.61  0.818977
rdk5       0.9639            0.59  0.748571
rdk6       0.9614            0.59  0.68989
rdk7       0.9652            0.59  0.705809
adalr - NR-PPAR-gamma 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9701            0.50  0.692481
ecfp2      0.9701            0.50  0.780769
ecfp4      0.9701            0.50  0.790278
ecfp6      0.9701            0.50  0.798811
fcfp2      0.9701            0.50  0.73316
fcfp4      0.9701            0.50  0.775127
fcfp6      0.9701            0.50  0.776823
maccs      0.9701            0.50  0.739784
hashap     0.9701            0.50  0.790204
hashtt     0.9701            0.50  0.717261
avalon     0.9701            0.50  0.817935
rdk5       0.9701            0.50  0.79168
rdk6       0.9701            0.50  0.771434
rdk7       0.9701            0.50  0.762994
baglr - NR-PPAR-gamma 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9701            0.50  0.730929
ecfp2      0.9714            0.54  0.7918
ecfp4      0.9689            0.54  0.798892
ecfp6      0.9695            0.53  0.810817
fcfp2      0.9714            0.54  0.762553
fcfp4      0.9708            0.54  0.780455
fcfp6      0.9714            0.53  0.741006
maccs      0.9695            0.52  0.773224
hashap     0.9695            0.53  0.807899
hashtt     0.9695            0.54  0.741794
avalon     0.9714            0.58  0.838515
rdk5       0.9689            0.57  0.759829
rdk6       0.9670            0.57  0.717174
rdk7       0.9677            0.57  0.710003
svm - NR-PPAR-gamma 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.6107            0.56  0.608974
ecfp2      0.8358            0.60  0.725067
ecfp4      0.6990            0.56  0.604728
ecfp6      0.7040            0.50  0.514303
fcfp2      0.6549            0.56  0.621394
fcfp4      0.7544            0.57  0.588602
fcfp6      0.6847            0.54  0.548177
maccs      0.6847            0.59  0.604113
hashap     0.8184            0.59  0.620146
hashtt     0.6020            0.55  0.584569
avalon     0.6287            0.58  0.589984
rdk5       0.5317            0.46  0.47476
rdk6       0.8445            0.68  0.746755
rdk7       0.5311            0.51  0.478018
mlp - NR-PPAR-gamma 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9701            0.50  0.755716
ecfp2      0.9670            0.63  0.76278
ecfp4      0.9683            0.58  0.665545
ecfp6      0.9670            0.56  0.677818
fcfp2      0.9677            0.53  0.732906
fcfp4      0.9695            0.62  0.71885
fcfp6      0.9583            0.59  0.659689
maccs      0.9677            0.55  0.800494
hashap     0.9658            0.64  0.73362
hashtt     0.9726            0.60  0.692568
avalon     0.9633            0.63  0.813288
rdk5       0.9652            0.60  0.755609
rdk6       0.9583            0.58  0.732158
rdk7       0.9683            0.51  0.660617
gbt - NR-PPAR-gamma 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9701            0.54  0.673711
ecfp2      0.9677            0.55  0.805482
ecfp4      0.9633            0.58  0.809061
ecfp6      0.9670            0.57  0.752257
fcfp2      0.9683            0.56  0.73929
fcfp4      0.9670            0.59  0.749993
fcfp6      0.9633            0.54  0.724506
maccs      0.9689            0.57  0.755128
hashap     0.9664            0.53  0.806757
hashtt     0.9646            0.57  0.735203
avalon     0.9683            0.58  0.850227
rdk5       0.9658            0.59  0.813562
rdk6       0.9658            0.56  0.780889
rdk7       0.9683            0.53  0.764129
lr - NR-PPAR-gamma 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9714            0.53  0.723892
ecfp2      0.9720            0.53  0.786565
ecfp4      0.9689            0.53  0.806437
ecfp6      0.9701            0.50  0.770032
fcfp2      0.9714            0.52  0.760924
fcfp4      0.9714            0.54  0.781644
fcfp6      0.9701            0.53  0.754908
maccs      0.9708            0.52  0.784682
hashap     0.9701            0.52  0.809008
hashtt     0.9701            0.50  0.686812
avalon     0.9708            0.52  0.850694
rdk5       0.9689            0.60  0.767508
rdk6       0.9701            0.50  0.667642
rdk7       0.9652            0.57  0.714276
tf_dnn - NR-PPAR-gamma 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9708            0.53  0.696321
ecfp2      0.9509            0.59  0.711445
ecfp4      0.9596            0.52  0.596995
ecfp6      0.9695            0.55  0.667748
fcfp2      0.9689            0.52  0.673204
fcfp4      0.9565            0.63  0.67307
fcfp6      0.9633            0.59  0.607913
maccs      0.9621            0.67  0.8039
hashap     0.9708            0.52  0.762186
hashtt     0.9590            0.62  0.58778
avalon     0.9708            0.56  0.719738
rdk5       0.9714            0.53  0.738034
rdk6       0.9658            0.51  0.700374
rdk7       0.9708            0.54  0.740932
