
most_frequent - SR-ARE 
Test size = 0.25
fp_name       acc    balanced_acc    roc
---------  ------  --------------  -----
ecfp0      0.8412            0.50    0.5
ecfp2      0.8412            0.50    0.5
ecfp4      0.8412            0.50    0.5
ecfp6      0.8412            0.50    0.5
fcfp2      0.8412            0.50    0.5
fcfp4      0.8412            0.50    0.5
fcfp6      0.8412            0.50    0.5
maccs      0.8412            0.50    0.5
hashap     0.8412            0.50    0.5
hashtt     0.8412            0.50    0.5
avalon     0.8412            0.50    0.5
rdk5       0.8412            0.50    0.5
rdk6       0.8412            0.50    0.5
rdk7       0.8412            0.50    0.5
badlr - SR-ARE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8433            0.52  0.683602
ecfp2      0.8509            0.63  0.741655
ecfp4      0.8385            0.63  0.73239
ecfp6      0.8323            0.62  0.695412
fcfp2      0.8378            0.54  0.722852
fcfp4      0.8392            0.60  0.732159
fcfp6      0.8344            0.63  0.725885
maccs      0.8447            0.57  0.749613
hashap     0.8330            0.63  0.718885
hashtt     0.8296            0.59  0.703734
avalon     0.8378            0.62  0.733492
rdk5       0.8330            0.65  0.731504
rdk6       0.8405            0.68  0.738612
rdk7       0.8137            0.64  0.712631
baglr - SR-ARE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8412            0.51  0.683673
ecfp2      0.8488            0.61  0.748587
ecfp4      0.8454            0.63  0.74768
ecfp6      0.8371            0.62  0.713106
fcfp2      0.8344            0.54  0.726371
fcfp4      0.8474            0.60  0.738341
fcfp6      0.8371            0.62  0.746875
maccs      0.8467            0.58  0.745514
hashap     0.8241            0.60  0.741446
hashtt     0.8357            0.60  0.705156
avalon     0.8433            0.63  0.761472
rdk5       0.8474            0.66  0.770699
rdk6       0.8392            0.67  0.764296
rdk7       0.8378            0.66  0.745247
adalr - SR-ARE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8412            0.50  0.635616
ecfp2      0.8412            0.50  0.676366
ecfp4      0.8412            0.50  0.701221
ecfp6      0.8412            0.50  0.713654
fcfp2      0.8412            0.50  0.666578
fcfp4      0.8412            0.50  0.690216
fcfp6      0.8412            0.50  0.71173
maccs      0.8412            0.50  0.717389
hashap     0.8385            0.50  0.735512
hashtt     0.8412            0.50  0.686297
avalon     0.8405            0.50  0.754918
rdk5       0.8426            0.51  0.735091
rdk6       0.8433            0.51  0.751461
rdk7       0.8433            0.51  0.762824
svm - SR-ARE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.5869            0.51  0.512442
ecfp2      0.6522            0.53  0.552471
ecfp4      0.5595            0.52  0.499804
ecfp6      0.4818            0.46  0.465837
fcfp2      0.4378            0.50  0.486956
fcfp4      0.5560            0.49  0.472815
fcfp6      0.5931            0.48  0.457935
maccs      0.5684            0.48  0.502317
hashap     0.4096            0.39  0.362096
hashtt     0.4667            0.44  0.432419
avalon     0.5409            0.49  0.488164
rdk5       0.6158            0.47  0.478456
rdk6       0.5065            0.50  0.499328
rdk7       0.5725            0.53  0.550013
mlp - SR-ARE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8440            0.57  0.723679
ecfp2      0.8405            0.63  0.741936
ecfp4      0.8357            0.64  0.746293
ecfp6      0.8392            0.63  0.73699
fcfp2      0.8474            0.66  0.725499
fcfp4      0.8289            0.67  0.74209
fcfp6      0.8447            0.65  0.728813
maccs      0.8447            0.66  0.779251
hashap     0.8241            0.65  0.769737
hashtt     0.8351            0.64  0.712533
avalon     0.8316            0.69  0.787534
rdk5       0.8488            0.69  0.778137
rdk6       0.8412            0.68  0.764939
rdk7       0.8550            0.67  0.786485
gbt - SR-ARE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8426            0.52  0.696689
ecfp2      0.8502            0.55  0.731865
ecfp4      0.8509            0.54  0.730603
ecfp6      0.8536            0.56  0.727812
fcfp2      0.8474            0.53  0.748449
fcfp4      0.8509            0.55  0.748408
fcfp6      0.8522            0.55  0.744279
maccs      0.8536            0.58  0.78877
hashap     0.8667            0.60  0.793762
hashtt     0.8447            0.54  0.721211
avalon     0.8570            0.56  0.796751
rdk5       0.8646            0.60  0.783833
rdk6       0.8646            0.61  0.791191
rdk7       0.8674            0.61  0.807504
lr - SR-ARE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8412            0.50  0.663287
ecfp2      0.8564            0.60  0.748516
ecfp4      0.8467            0.54  0.752964
ecfp6      0.8522            0.57  0.743133
fcfp2      0.8399            0.54  0.725833
fcfp4      0.8454            0.59  0.742235
fcfp6      0.8460            0.54  0.76568
maccs      0.8399            0.51  0.75038
hashap     0.8392            0.51  0.752297
hashtt     0.8378            0.53  0.717874
avalon     0.8502            0.59  0.77704
rdk5       0.8529            0.61  0.773606
rdk6       0.8605            0.63  0.773031
rdk7       0.8577            0.63  0.764508
tf_dnn - SR-ARE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8371            0.52  0.716215
ecfp2      0.8323            0.63  0.726947
ecfp4      0.8419            0.61  0.723304
ecfp6      0.8247            0.63  0.722431
fcfp2      0.8488            0.56  0.728716
fcfp4      0.8296            0.64  0.703125
fcfp6      0.8419            0.61  0.722758
maccs      0.8481            0.65  0.775286
hashap     0.8467            0.61  0.713156
hashtt     0.8337            0.59  0.680006
avalon     0.8460            0.63  0.783711
rdk5       0.8268            0.66  0.764754
rdk6       0.8268            0.67  0.773753
rdk7       0.8529            0.64  0.730459
