
most_frequent - SR-ATAD5 
Test size = 0.25
fp_name       acc    balanced_acc    roc
---------  ------  --------------  -----
ecfp0      0.9597            0.50    0.5
ecfp2      0.9597            0.50    0.5
ecfp4      0.9597            0.50    0.5
ecfp6      0.9597            0.50    0.5
fcfp2      0.9597            0.50    0.5
fcfp4      0.9597            0.50    0.5
fcfp6      0.9597            0.50    0.5
maccs      0.9597            0.50    0.5
hashap     0.9597            0.50    0.5
hashtt     0.9597            0.50    0.5
avalon     0.9597            0.50    0.5
rdk5       0.9597            0.50    0.5
rdk6       0.9597            0.50    0.5
rdk7       0.9597            0.50    0.5
adalr - SR-ATAD5 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9597            0.50  0.681608
ecfp2      0.9597            0.50  0.717319
ecfp4      0.9597            0.50  0.742822
ecfp6      0.9597            0.50  0.754383
fcfp2      0.9597            0.50  0.673416
fcfp4      0.9597            0.50  0.704429
fcfp6      0.9597            0.50  0.714516
maccs      0.9597            0.50  0.680129
hashap     0.9597            0.50  0.764212
hashtt     0.9597            0.50  0.680946
avalon     0.9597            0.50  0.736917
rdk5       0.9597            0.50  0.750148
rdk6       0.9597            0.50  0.755708
rdk7       0.9603            0.51  0.764536
badlr - SR-ATAD5 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9597            0.50  0.73952
ecfp2      0.9603            0.53  0.806432
ecfp4      0.9591            0.55  0.808347
ecfp6      0.9569            0.55  0.832718
fcfp2      0.9557            0.51  0.792639
fcfp4      0.9603            0.56  0.811692
fcfp6      0.9580            0.56  0.776784
maccs      0.9597            0.52  0.762671
hashap     0.9552            0.58  0.785601
hashtt     0.9586            0.55  0.734677
avalon     0.9608            0.63  0.807889
rdk5       0.9597            0.62  0.786438
rdk6       0.9546            0.60  0.780428
rdk7       0.9489            0.60  0.772432
baglr - SR-ATAD5 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9597            0.50  0.731807
ecfp2      0.9586            0.52  0.807006
ecfp4      0.9597            0.53  0.805982
ecfp6      0.9586            0.53  0.829295
fcfp2      0.9569            0.50  0.775989
fcfp4      0.9597            0.55  0.815131
fcfp6      0.9574            0.55  0.796091
maccs      0.9586            0.51  0.750868
hashap     0.9574            0.57  0.777855
hashtt     0.9569            0.52  0.772274
avalon     0.9597            0.59  0.823765
rdk5       0.9603            0.57  0.810476
rdk6       0.9569            0.56  0.806865
rdk7       0.9574            0.58  0.787008
svm - SR-ATAD5 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.4955            0.47  0.518666
ecfp2      0.6674            0.50  0.5416
ecfp4      0.8320            0.58  0.660747
ecfp6      0.7225            0.59  0.637109
fcfp2      0.5204            0.51  0.525924
fcfp4      0.7679            0.52  0.563434
fcfp6      0.7503            0.54  0.588413
maccs      0.6419            0.54  0.549821
hashap     0.7509            0.60  0.664937
hashtt     0.5216            0.52  0.511961
avalon     0.5670            0.54  0.574858
rdk5       0.7094            0.55  0.56924
rdk6       0.6243            0.57  0.580297
rdk7       0.7968            0.66  0.73212
mlp - SR-ATAD5 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9597            0.50  0.758793
ecfp2      0.9557            0.61  0.743272
ecfp4      0.9552            0.59  0.768901
ecfp6      0.9535            0.58  0.791231
fcfp2      0.9625            0.62  0.77967
fcfp4      0.9597            0.63  0.786413
fcfp6      0.9540            0.61  0.757436
maccs      0.9580            0.59  0.763379
hashap     0.9552            0.63  0.805482
hashtt     0.9557            0.59  0.739916
avalon     0.9591            0.65  0.800951
rdk5       0.9614            0.60  0.768597
rdk6       0.9603            0.59  0.797844
rdk7       0.9330            0.62  0.792439
gbt - SR-ATAD5 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9591            0.52  0.770263
ecfp2      0.9608            0.55  0.755229
ecfp4      0.9586            0.55  0.76721
ecfp6      0.9591            0.56  0.768559
fcfp2      0.9631            0.58  0.775027
fcfp4      0.9614            0.55  0.742393
fcfp6      0.9597            0.55  0.735922
maccs      0.9608            0.53  0.781778
hashap     0.9614            0.55  0.768293
hashtt     0.9637            0.59  0.765677
avalon     0.9620            0.58  0.791019
rdk5       0.9591            0.56  0.827425
rdk6       0.9608            0.54  0.831631
rdk7       0.9614            0.55  0.795721
lr - SR-ATAD5 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9591            0.51  0.720938
ecfp2      0.9603            0.51  0.808631
ecfp4      0.9597            0.50  0.718818
ecfp6      0.9597            0.50  0.822923
fcfp2      0.9597            0.50  0.655483
fcfp4      0.9597            0.50  0.679675
fcfp6      0.9603            0.51  0.78588
maccs      0.9597            0.50  0.661372
hashap     0.9597            0.51  0.8033
hashtt     0.9597            0.50  0.665787
avalon     0.9597            0.50  0.648654
rdk5       0.9597            0.52  0.810226
rdk6       0.9603            0.53  0.808272
rdk7       0.9603            0.51  0.768359
tf_dnn - SR-ATAD5 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9557            0.52  0.738862
ecfp2      0.9489            0.60  0.640891
ecfp4      0.9529            0.56  0.656341
ecfp6      0.9546            0.59  0.664496
fcfp2      0.9608            0.60  0.748719
fcfp4      0.9625            0.62  0.741873
fcfp6      0.9432            0.65  0.693302
maccs      0.9546            0.59  0.783985
hashap     0.9591            0.58  0.712554
hashtt     0.9512            0.62  0.701352
avalon     0.9591            0.54  0.785009
rdk5       0.9591            0.51  0.743684
rdk6       0.9597            0.50  0.792472
rdk7       0.9614            0.53  0.785617
