
most_frequent - SR-HSE 
Test size = 0.25
fp_name       acc    balanced_acc    roc
---------  ------  --------------  -----
ecfp0      0.9387            0.50    0.5
ecfp2      0.9387            0.50    0.5
ecfp4      0.9387            0.50    0.5
ecfp6      0.9387            0.50    0.5
fcfp2      0.9387            0.50    0.5
fcfp4      0.9387            0.50    0.5
fcfp6      0.9387            0.50    0.5
maccs      0.9387            0.50    0.5
hashap     0.9387            0.50    0.5
hashtt     0.9387            0.50    0.5
avalon     0.9387            0.50    0.5
rdk5       0.9387            0.50    0.5
rdk6       0.9387            0.50    0.5
rdk7       0.9387            0.50    0.5
adalr - SR-HSE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9387            0.50  0.644674
ecfp2      0.9387            0.50  0.671807
ecfp4      0.9387            0.50  0.682215
ecfp6      0.9387            0.50  0.693296
fcfp2      0.9387            0.50  0.640024
fcfp4      0.9387            0.50  0.666703
fcfp6      0.9387            0.50  0.66995
maccs      0.9387            0.50  0.707644
hashap     0.9387            0.50  0.69716
hashtt     0.9387            0.50  0.617202
avalon     0.9387            0.50  0.756899
rdk5       0.9387            0.50  0.746198
rdk6       0.9387            0.50  0.73489
rdk7       0.9387            0.50  0.73279
badlr - SR-HSE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9405            0.52  0.688959
ecfp2      0.9393            0.55  0.746068
ecfp4      0.9325            0.57  0.716225
ecfp6      0.9362            0.60  0.683748
fcfp2      0.9405            0.53  0.704437
fcfp4      0.9387            0.54  0.717728
fcfp6      0.9343            0.57  0.688386
maccs      0.9411            0.55  0.766423
hashap     0.9238            0.56  0.7035
hashtt     0.9325            0.54  0.66964
avalon     0.9337            0.62  0.719442
rdk5       0.9250            0.57  0.72873
rdk6       0.9263            0.59  0.689866
rdk7       0.9195            0.57  0.693726
svm - SR-HSE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.5682            0.48  0.47029
ecfp2      0.6413            0.58  0.598567
ecfp4      0.6338            0.57  0.577104
ecfp6      0.6685            0.59  0.609641
fcfp2      0.5161            0.53  0.547111
fcfp4      0.5923            0.54  0.545301
fcfp6      0.6022            0.54  0.552465
maccs      0.5694            0.58  0.607887
hashap     0.6871            0.60  0.6351
hashtt     0.5068            0.54  0.552115
avalon     0.7150            0.57  0.624066
rdk5       0.5607            0.52  0.531583
rdk6       0.6667            0.57  0.572114
rdk7       0.5812            0.54  0.550405
mlp - SR-HSE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9399            0.55  0.718302
ecfp2      0.9300            0.62  0.712451
ecfp4      0.9331            0.62  0.674927
ecfp6      0.9343            0.62  0.667347
fcfp2      0.9337            0.53  0.684542
fcfp4      0.9300            0.59  0.705774
fcfp6      0.9368            0.58  0.658156
maccs      0.9411            0.59  0.759276
hashap     0.9213            0.58  0.715128
hashtt     0.9139            0.54  0.673254
avalon     0.9269            0.64  0.744178
rdk5       0.9393            0.59  0.750972
rdk6       0.9306            0.59  0.73101
rdk7       0.9380            0.56  0.744904
baglr - SR-HSE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9405            0.52  0.679765
ecfp2      0.9405            0.55  0.744208
ecfp4      0.9356            0.55  0.716772
ecfp6      0.9349            0.55  0.710464
fcfp2      0.9399            0.52  0.701063
fcfp4      0.9387            0.54  0.711461
fcfp6      0.9356            0.54  0.70294
maccs      0.9424            0.55  0.763196
hashap     0.9306            0.56  0.720415
hashtt     0.9374            0.52  0.687555
avalon     0.9399            0.61  0.721262
rdk5       0.9393            0.58  0.73531
rdk6       0.9393            0.60  0.706787
rdk7       0.9306            0.59  0.688165
gbt - SR-HSE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9424            0.56  0.728936
ecfp2      0.9411            0.55  0.680828
ecfp4      0.9411            0.54  0.738351
ecfp6      0.9424            0.55  0.734463
fcfp2      0.9393            0.52  0.652012
fcfp4      0.9418            0.55  0.607831
fcfp6      0.9380            0.55  0.660013
maccs      0.9430            0.54  0.772027
hashap     0.9374            0.52  0.665927
hashtt     0.9374            0.53  0.619065
avalon     0.9399            0.56  0.774737
rdk5       0.9393            0.53  0.705984
rdk6       0.9387            0.53  0.748135
rdk7       0.9405            0.54  0.742121
lr - SR-HSE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9424            0.55  0.679878
ecfp2      0.9399            0.54  0.738147
ecfp4      0.9387            0.50  0.655892
ecfp6      0.9387            0.50  0.664453
fcfp2      0.9405            0.54  0.710544
fcfp4      0.9393            0.53  0.718255
fcfp6      0.9387            0.50  0.643628
maccs      0.9411            0.54  0.76359
hashap     0.9387            0.50  0.602264
hashtt     0.9387            0.50  0.593719
avalon     0.9430            0.55  0.745538
rdk5       0.9380            0.53  0.748632
rdk6       0.9356            0.53  0.722076
rdk7       0.9387            0.53  0.731983
tf_dnn - SR-HSE 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9405            0.54  0.691286
ecfp2      0.9318            0.61  0.654782
ecfp4      0.9164            0.58  0.666623
ecfp6      0.9058            0.62  0.641441
fcfp2      0.9418            0.54  0.69713
fcfp4      0.9114            0.59  0.679935
fcfp6      0.9207            0.59  0.674437
maccs      0.9405            0.60  0.775424
hashap     0.9362            0.53  0.662716
hashtt     0.8854            0.60  0.654225
avalon     0.9442            0.58  0.736777
rdk5       0.9312            0.61  0.705801
rdk6       0.9393            0.52  0.73079
rdk7       0.9393            0.55  0.753645
