
most_frequent - SR-MMP 
Test size = 0.25
fp_name       acc    balanced_acc    roc
---------  ------  --------------  -----
ecfp0      0.8416            0.50    0.5
ecfp2      0.8416            0.50    0.5
ecfp4      0.8416            0.50    0.5
ecfp6      0.8416            0.50    0.5
fcfp2      0.8416            0.50    0.5
fcfp4      0.8416            0.50    0.5
fcfp6      0.8416            0.50    0.5
maccs      0.8416            0.50    0.5
hashap     0.8416            0.50    0.5
hashtt     0.8416            0.50    0.5
avalon     0.8416            0.50    0.5
rdk5       0.8416            0.50    0.5
rdk6       0.8416            0.50    0.5
rdk7       0.8416            0.50    0.5
adalr - SR-MMP 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8416            0.50  0.733474
ecfp2      0.8416            0.50  0.785466
ecfp4      0.8416            0.50  0.797871
ecfp6      0.8416            0.50  0.808592
fcfp2      0.8416            0.50  0.774119
fcfp4      0.8416            0.50  0.794927
fcfp6      0.8416            0.50  0.802679
maccs      0.8409            0.50  0.805557
hashap     0.8596            0.59  0.831436
hashtt     0.8416            0.50  0.788595
avalon     0.8672            0.60  0.839727
rdk5       0.8582            0.59  0.833306
rdk6       0.8665            0.62  0.842685
rdk7       0.8651            0.62  0.841566
badlr - SR-MMP 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8458            0.55  0.757016
ecfp2      0.8804            0.72  0.854725
ecfp4      0.8568            0.70  0.838435
ecfp6      0.8603            0.71  0.808693
fcfp2      0.8693            0.67  0.8511
fcfp4      0.8838            0.74  0.87504
fcfp6      0.8755            0.74  0.854532
maccs      0.8665            0.68  0.85756
hashap     0.8665            0.76  0.835071
hashtt     0.8638            0.69  0.817695
avalon     0.8769            0.75  0.857578
rdk5       0.8748            0.76  0.838871
rdk6       0.8645            0.75  0.835337
rdk7       0.8575            0.72  0.835276
baglr - SR-MMP 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8451            0.55  0.751723
ecfp2      0.8797            0.71  0.857302
ecfp4      0.8686            0.70  0.850021
ecfp6      0.8679            0.71  0.824786
fcfp2      0.8693            0.67  0.850454
fcfp4      0.8741            0.70  0.870971
fcfp6      0.8797            0.72  0.861582
maccs      0.8700            0.68  0.859706
hashap     0.8665            0.74  0.84303
hashtt     0.8693            0.69  0.826135
avalon     0.8838            0.76  0.886531
rdk5       0.8755            0.74  0.857806
rdk6       0.8665            0.73  0.863393
rdk7       0.8624            0.71  0.854189
svm - SR-MMP 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.5733            0.62  0.63949
ecfp2      0.6660            0.63  0.651154
ecfp4      0.6521            0.55  0.567151
ecfp6      0.6113            0.58  0.610579
fcfp2      0.4903            0.44  0.436426
fcfp4      0.6224            0.59  0.63826
fcfp6      0.6134            0.61  0.653856
maccs      0.5228            0.51  0.514807
hashap     0.6598            0.56  0.554494
hashtt     0.5913            0.54  0.54864
avalon     0.5048            0.51  0.535916
rdk5       0.7310            0.60  0.617796
rdk6       0.6224            0.61  0.643592
rdk7       0.7337            0.61  0.658834
mlp - SR-MMP 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8603            0.65  0.807083
ecfp2      0.8700            0.75  0.847477
ecfp4      0.8707            0.72  0.846613
ecfp6      0.8741            0.74  0.835041
fcfp2      0.8831            0.71  0.861136
fcfp4      0.8804            0.72  0.852079
fcfp6      0.8734            0.75  0.849203
maccs      0.8804            0.76  0.885885
hashap     0.8907            0.77  0.862212
hashtt     0.8755            0.74  0.828431
avalon     0.8817            0.78  0.8859
rdk5       0.8700            0.77  0.869794
rdk6       0.8838            0.76  0.869403
rdk7       0.8651            0.68  0.862869
gbt - SR-MMP 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8575            0.57  0.790551
ecfp2      0.8700            0.62  0.823209
ecfp4      0.8645            0.62  0.824682
ecfp6      0.8631            0.61  0.821101
fcfp2      0.8776            0.65  0.821389
fcfp4      0.8721            0.65  0.836515
fcfp6      0.8728            0.64  0.827079
maccs      0.8776            0.68  0.883363
hashap     0.8866            0.69  0.874983
hashtt     0.8790            0.67  0.846379
avalon     0.8949            0.71  0.884251
rdk5       0.8845            0.68  0.867801
rdk6       0.8831            0.69  0.875976
rdk7       0.8852            0.68  0.862951
lr - SR-MMP 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8479            0.54  0.754439
ecfp2      0.8776            0.70  0.857302
ecfp4      0.8721            0.69  0.853531
ecfp6      0.8762            0.66  0.852339
fcfp2      0.8693            0.66  0.848118
fcfp4      0.8804            0.72  0.877806
fcfp6      0.8804            0.73  0.865949
maccs      0.8693            0.68  0.858597
hashap     0.8748            0.71  0.86218
hashtt     0.8665            0.68  0.833641
avalon     0.8866            0.73  0.885458
rdk5       0.8845            0.71  0.87011
rdk6       0.8817            0.72  0.873526
rdk7       0.8817            0.72  0.869722
tf_dnn - SR-MMP 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.8513            0.62  0.793323
ecfp2      0.8741            0.72  0.826081
ecfp4      0.7849            0.77  0.83756
ecfp6      0.8658            0.69  0.802729
fcfp2      0.8769            0.68  0.842497
fcfp4      0.8741            0.68  0.834702
fcfp6      0.8686            0.68  0.806725
maccs      0.8734            0.74  0.881353
hashap     0.8783            0.75  0.835326
hashtt     0.8700            0.73  0.818205
avalon     0.8769            0.77  0.882717
rdk5       0.8631            0.75  0.873515
rdk6       0.8824            0.70  0.871893
rdk7       0.8520            0.74  0.870827
