
adalr - SR-p53 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9372            0.50  0.701948
ecfp2      0.9372            0.50  0.754422
ecfp4      0.9372            0.50  0.768242
ecfp6      0.9372            0.50  0.767145
fcfp2      0.9372            0.50  0.724865
fcfp4      0.9372            0.50  0.752239
fcfp6      0.9372            0.50  0.763042
maccs      0.9372            0.50  0.731481
hashap     0.9372            0.50  0.764231
hashtt     0.9372            0.50  0.739847
avalon     0.9366            0.50  0.789689
rdk5       0.9378            0.50  0.808768
rdk6       0.9378            0.50  0.808223
rdk7       0.9372            0.50  0.802349
most_frequent - SR-p53 
Test size = 0.25
fp_name       acc    balanced_acc    roc
---------  ------  --------------  -----
ecfp0      0.9372            0.50    0.5
ecfp2      0.9372            0.50    0.5
ecfp4      0.9372            0.50    0.5
ecfp6      0.9372            0.50    0.5
fcfp2      0.9372            0.50    0.5
fcfp4      0.9372            0.50    0.5
fcfp6      0.9372            0.50    0.5
maccs      0.9372            0.50    0.5
hashap     0.9372            0.50    0.5
hashtt     0.9372            0.50    0.5
avalon     0.9372            0.50    0.5
rdk5       0.9372            0.50    0.5
rdk6       0.9372            0.50    0.5
rdk7       0.9372            0.50    0.5
badlr - SR-p53 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9366            0.50  0.727166
ecfp2      0.9384            0.58  0.813029
ecfp4      0.9336            0.58  0.772303
ecfp6      0.9295            0.59  0.76068
fcfp2      0.9366            0.52  0.804755
fcfp4      0.9384            0.58  0.826971
fcfp6      0.9366            0.60  0.746297
maccs      0.9378            0.52  0.788842
hashap     0.9188            0.56  0.690751
hashtt     0.9331            0.56  0.738947
avalon     0.9248            0.61  0.768227
rdk5       0.9259            0.62  0.73632
rdk6       0.9141            0.62  0.747642
rdk7       0.9141            0.60  0.737754
baglr - SR-p53 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9366            0.50  0.7279
ecfp2      0.9425            0.59  0.80972
ecfp4      0.9378            0.58  0.796502
ecfp6      0.9331            0.55  0.765457
fcfp2      0.9378            0.52  0.804117
fcfp4      0.9431            0.59  0.820668
fcfp6      0.9425            0.59  0.793228
maccs      0.9372            0.52  0.801615
hashap     0.9271            0.56  0.73008
hashtt     0.9336            0.56  0.758173
avalon     0.9283            0.58  0.81418
rdk5       0.9307            0.62  0.772333
rdk6       0.9295            0.58  0.762359
rdk7       0.9313            0.61  0.787459
svm - SR-p53 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.4805            0.46  0.472655
ecfp2      0.5551            0.52  0.546001
ecfp4      0.6653            0.54  0.583785
ecfp6      0.6167            0.53  0.546895
fcfp2      0.6114            0.53  0.527598
fcfp4      0.6848            0.58  0.575594
fcfp6      0.5616            0.51  0.486398
maccs      0.6902            0.65  0.710669
hashap     0.5640            0.47  0.446965
hashtt     0.4105            0.40  0.353431
avalon     0.6031            0.55  0.560125
rdk5       0.4917            0.44  0.441285
rdk6       0.5717            0.54  0.538162
rdk7       0.5284            0.47  0.457801
gbt - SR-p53 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9366            0.51  0.739859
ecfp2      0.9378            0.52  0.779489
ecfp4      0.9402            0.54  0.757296
ecfp6      0.9396            0.53  0.772318
fcfp2      0.9384            0.54  0.776957
fcfp4      0.9425            0.55  0.778218
fcfp6      0.9378            0.52  0.74788
maccs      0.9366            0.52  0.778517
hashap     0.9336            0.53  0.748918
hashtt     0.9402            0.54  0.750799
avalon     0.9437            0.57  0.818921
rdk5       0.9408            0.56  0.815844
rdk6       0.9431            0.56  0.827672
rdk7       0.9384            0.53  0.821151
mlp - SR-p53 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9360            0.50  0.771927
ecfp2      0.9325            0.64  0.801699
ecfp4      0.9366            0.61  0.768713
ecfp6      0.9360            0.61  0.768117
fcfp2      0.9414            0.63  0.76687
fcfp4      0.9336            0.59  0.785902
fcfp6      0.9354            0.59  0.712032
maccs      0.9325            0.59  0.810083
hashap     0.9289            0.57  0.777047
hashtt     0.9354            0.60  0.720842
avalon     0.9153            0.66  0.827168
rdk5       0.9224            0.63  0.76597
rdk6       0.9307            0.60  0.786224
rdk7       0.9336            0.53  0.782214
lr - SR-p53 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9360            0.50  0.726123
ecfp2      0.9372            0.50  0.739865
ecfp4      0.9360            0.50  0.806174
ecfp6      0.9378            0.51  0.797796
fcfp2      0.9372            0.50  0.71069
fcfp4      0.9396            0.56  0.833006
fcfp6      0.9366            0.50  0.820176
maccs      0.9372            0.50  0.719173
hashap     0.9360            0.52  0.777643
hashtt     0.9372            0.50  0.720377
avalon     0.9378            0.54  0.817675
rdk5       0.9419            0.56  0.792441
rdk6       0.9342            0.54  0.789009
rdk7       0.9384            0.51  0.79985
tf_dnn - SR-p53 
Test size = 0.25
fp_name       acc    balanced_acc       roc
---------  ------  --------------  --------
ecfp0      0.9354            0.50  0.736463
ecfp2      0.9396            0.61  0.737781
ecfp4      0.9230            0.59  0.694136
ecfp6      0.9384            0.58  0.741141
fcfp2      0.9384            0.61  0.775317
fcfp4      0.9390            0.57  0.726054
fcfp6      0.9254            0.59  0.731883
maccs      0.9230            0.63  0.789796
hashap     0.9319            0.55  0.690286
hashtt     0.9336            0.56  0.666069
avalon     0.9242            0.61  0.798664
rdk5       0.9182            0.64  0.765672
rdk6       0.9354            0.53  0.793482
rdk7       0.9396            0.54  0.808843
